Millis,Year,Month,Day,Hour,Min,TotalOdo,EngineSpeed,GasPedalPos,EngineSts,NeutralSwSts,ACPressure,ThrottlePos,EngineFrictionTorque,EngineTorgue,GasPedalAct,GasPedalGradient,ActualPedalPos,ClutchUpStop,ClutchInterLk,AnalogClutch,EngineWaterTemp,GearShiftIndication,FuelConsumptionGAG,SuggestedGearGSI,ActualGearGSI,EngineOilTemp,BrakePedalSwitchNCSts,BrakePedalSwitchNOSts,OperationModeSts,TurnIndicationSts,KeyInIgnSts,Cmdlgn_FailSts,CmdlgnSts,ExternalTemperature,ExternalTemperatureFailSts,ParkBrakeSts,BatteryChargeSts,ExternalTemperatureAD_Voltage,FuelLevel,InternalLightLevel,FuelLevelFailsSts,InternalLightSts,NotFilteredFuelLevel,BatteryStateOfFunction,CompressorACReqSts,FUEL_VOLT,BrkBstrVac,BrkTrq,BrkTrq_Driver,HSA_BrkPrss,VechileSpeedVSOCSig,CMMInterventionAct,PrefillActive,BrakeInterventionSts,ESCActive,ABSActive,MasterCylinderPressure,VechileSpeedVSOCSigFailSts,BSMShiftInterfernece,BrkPrss_One,BrkPrss_Two,SyncPos,OverSteering,UnderSteering,REF_VEH_SPEED,VehicleStandSts,BrkBstrVac_OBD,batteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Sec,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,LHFWheelSpeed,RHFWheelSpeed,LHRWheelSpeed,RHRWheelSpeed,VIN_DATA
1564254,2020,1,14,19,30,2630,864,0,2,0,122,218,38,526,0,128,0,1,0,138,125,0,672,15,15,2,1,1,8,0,0,0,4,224,0,0,12,62,71,3,0,1,42,20,1,109,45,51,0,5,109,0,0,0,0,0,8,0,0,163,159,2,0,0,13,1,147,396,100,96,136,2500,67,11154,11154,77,0,100,108,2,2,138,156,0,2,2447,1774,23706,848,96,98,2,1023,324,255,126,109,109,109,109,231713
1564754,2020,1,14,19,30,2630,894,0,2,0,124,218,38,507,0,128,0,1,0,138,125,0,477,15,15,2,1,1,8,0,0,0,4,224,0,0,12,62,71,3,0,1,45,20,1,110,45,52,0,5,114,0,0,0,0,0,9,0,0,163,159,2,0,0,14,1,147,395,100,96,136,2500,67,11153,11153,77,0,100,108,2,2,138,156,0,2,2447,1774,23706,848,96,98,2,1023,324,255,126,114,112,114,112,231713
1565254,2020,1,14,19,30,2630,895,0,2,0,125,218,38,491,0,128,0,1,0,112,125,0,368,15,15,2,0,0,8,0,0,0,4,224,0,0,12,62,71,3,0,1,40,20,1,103,46,2,0,5,114,0,0,0,0,0,0,0,0,157,153,2,0,0,14,1,146,396,100,96,136,2500,67,11143,11143,77,0,100,108,2,2,138,156,0,2,2447,1774,23706,848,96,98,2,1023,324,255,126,115,112,114,111,231713
1565755,2020,1,14,19,30,2630,901,7,2,0,126,218,38,495,1,128,7,0,0,42,125,0,395,1,1,2,0,0,8,0,0,0,4,224,0,0,12,62,71,3,0,1,40,20,1,105,45,0,0,5,112,0,0,0,0,0,0,0,0,157,153,2,0,0,14,1,147,396,100,96,136,2500,67,11143,11143,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,112,109,111,109,231713
1566255,2020,1,14,19,30,2630,943,16,2,0,127,220,38,531,1,128,15,0,0,42,125,0,672,1,1,2,0,0,8,0,0,0,4,224,0,0,12,62,71,3,0,1,40,20,1,112,44,0,0,5,116,0,0,0,0,0,0,0,0,157,153,2,0,0,14,1,147,396,100,96,136,2500,67,11173,11173,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,117,115,116,114,231713
1566755,2020,1,14,19,30,2630,1110,7,2,0,127,160,37,538,1,116,2,0,0,47,125,0,1022,1,1,2,0,0,8,0,0,0,4,224,0,0,12,62,71,3,0,1,47,20,1,115,44,0,0,5,137,0,0,0,0,0,0,0,0,157,153,2,0,0,17,1,148,397,100,96,136,2500,67,11176,11176,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,138,136,137,135,231713
1567255,2020,1,14,19,30,2630,1083,0,2,1,127,131,37,485,0,128,0,1,0,185,125,0,304,1,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,110,43,0,0,5,145,0,0,0,0,0,0,0,0,157,153,2,0,0,18,1,148,396,100,96,136,2500,67,11173,11173,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,143,143,142,143,231713
1567755,2020,1,14,19,30,2630,1020,0,2,0,127,171,38,485,0,128,0,1,0,185,125,0,268,1,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,41,20,1,111,43,0,0,5,139,0,0,0,0,0,0,0,0,157,153,2,0,0,17,1,148,396,100,96,136,2500,67,11168,11168,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,138,138,138,138,231713
1568256,2020,1,14,19,30,2630,941,0,2,0,126,212,38,504,0,128,0,1,0,142,125,0,418,1,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,48,20,1,115,43,0,0,5,138,0,0,0,0,0,0,0,0,157,153,2,0,0,17,1,148,396,100,96,136,2500,67,11168,11168,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,136,136,135,135,231713
1568756,2020,1,14,19,30,2630,871,0,2,0,125,220,38,526,0,128,0,1,0,139,125,0,659,1,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,109,43,0,0,5,143,0,0,0,0,0,0,0,0,157,153,2,0,0,17,1,149,396,100,96,136,2500,67,11166,11166,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,142,142,142,142,231713
1569257,2020,1,14,19,30,2630,853,0,2,0,124,220,38,537,0,128,0,1,0,134,125,0,736,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,109,42,0,0,5,153,0,0,0,0,0,0,0,0,157,153,2,0,0,18,1,149,396,100,96,136,2500,67,11165,11165,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,152,152,152,151,231713
1569758,2020,1,14,19,30,2630,762,0,2,0,124,220,39,568,0,128,0,1,0,129,125,0,863,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,115,42,0,0,5,168,0,0,0,0,0,0,0,0,157,153,2,0,0,20,1,149,396,100,96,136,2500,67,11165,11165,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,168,167,166,165,231713
1570258,2020,1,14,19,30,2630,864,0,2,0,123,201,38,573,0,128,0,1,0,128,125,0,1072,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,48,20,1,109,42,0,0,5,186,0,0,0,0,0,0,0,0,157,153,2,0,0,23,1,149,396,100,96,136,2510,67,11165,11165,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,187,186,185,184,231713
1570759,2020,1,14,19,30,2630,904,0,2,0,123,195,38,563,0,128,0,1,0,128,125,0,1013,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,110,42,0,0,5,209,0,0,0,0,0,0,0,0,157,153,2,0,0,26,1,149,396,100,96,136,2500,67,11168,11168,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,209,207,208,206,231713
1571259,2020,1,14,19,30,2630,925,0,2,0,122,202,38,556,0,128,0,1,0,129,125,0,981,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,113,42,30,0,5,228,0,0,0,0,0,7,0,0,162,158,2,0,0,28,1,149,396,100,96,136,2500,67,11161,11161,77,0,100,108,2,2,138,156,0,2,2447,1774,23708,848,96,98,2,1023,324,255,126,228,227,228,226,231713
1571759,2020,1,14,19,30,2630,1035,0,2,0,122,202,38,535,0,128,0,1,0,153,125,0,877,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,112,42,156,157,5,227,0,0,0,0,0,26,0,0,172,168,2,0,0,28,1,149,396,100,96,136,2500,67,11161,11161,77,0,100,108,2,2,138,156,0,2,2447,1774,23711,848,96,98,2,1023,324,255,126,223,222,224,224,231713
1572259,2020,1,14,19,30,2630,1154,0,2,1,122,14,37,469,0,128,0,1,0,175,125,0,100,15,0,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,41,20,1,103,45,10,0,5,212,0,0,0,0,0,2,0,0,159,155,2,0,0,26,1,147,396,100,96,136,2500,67,11170,11170,77,0,100,108,2,2,138,156,0,2,2447,1774,23711,848,96,98,2,1023,324,255,126,208,209,208,208,231713
1572759,2020,1,14,19,30,2630,1030,0,2,1,121,171,37,484,0,128,0,0,0,43,125,0,263,15,0,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,49,20,1,109,44,0,0,5,207,0,0,0,0,0,0,0,0,157,153,2,0,0,25,1,147,396,100,96,136,2500,67,11166,11166,77,0,100,108,2,2,138,156,0,2,2447,1774,23711,848,96,98,2,1023,324,255,126,205,205,204,205,231713
1573260,2020,1,14,19,30,2630,965,0,2,1,121,219,38,483,0,128,0,0,0,43,125,0,268,15,0,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,37,20,1,97,44,0,0,5,205,0,0,0,0,0,0,0,0,157,153,2,0,0,25,1,148,396,100,96,136,2500,67,11174,11174,77,0,100,108,2,2,138,156,0,2,2447,1774,23711,848,96,98,2,1023,324,255,126,203,204,202,203,231713
1573761,2020,1,14,19,30,2630,909,0,2,0,121,219,38,483,0,128,0,1,0,162,125,0,263,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,103,44,0,0,5,203,0,0,0,0,0,0,0,0,157,153,2,0,0,25,1,148,396,100,96,136,2500,67,11173,11173,77,0,100,108,2,2,138,156,0,2,2447,1774,23712,848,96,98,2,1023,324,255,126,201,201,200,200,231713
1574261,2020,1,14,19,30,2630,927,0,2,0,121,219,38,495,0,128,0,1,0,162,125,0,372,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,103,43,0,0,5,200,0,0,0,0,0,0,0,0,157,154,2,0,0,24,1,148,396,100,96,136,2500,67,11172,11172,77,0,100,108,2,2,138,156,0,2,2447,1774,23712,848,96,98,2,1023,324,255,126,197,197,197,197,231713
1574761,2020,1,14,19,30,2630,914,0,2,0,121,219,38,486,0,128,0,1,0,161,125,0,290,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,41,20,1,112,43,0,0,5,197,0,0,0,0,0,0,0,0,157,153,2,0,0,24,1,148,396,100,96,136,2500,67,11172,11172,77,0,100,108,2,2,138,156,0,2,2447,1774,23712,848,96,98,2,1023,324,255,126,195,194,195,194,231713
1575261,2020,1,14,19,30,2630,864,0,2,0,121,219,38,497,0,128,0,1,0,156,125,0,377,15,15,2,0,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,41,20,1,114,43,0,0,5,196,0,0,0,0,0,0,0,0,157,153,2,0,0,24,1,148,396,100,96,136,2500,67,11167,11167,77,0,100,108,2,2,138,156,0,2,2447,1774,23712,848,96,98,2,1023,324,255,126,195,193,194,192,231713
1575761,2020,1,14,19,30,2630,881,0,2,0,121,219,38,499,0,128,0,1,0,156,125,0,400,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,51,20,1,109,43,82,105,5,190,0,0,0,0,0,21,0,0,172,168,2,4,0,23,1,148,396,100,96,136,2500,67,11161,11161,77,0,100,108,2,2,138,156,0,2,2447,1774,23712,848,96,98,2,1023,324,255,126,188,186,189,188,231713
1576261,2020,1,14,19,30,2630,908,0,2,0,121,219,39,491,0,128,0,1,0,165,125,0,340,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,39,20,1,97,46,253,219,5,145,0,0,0,0,0,28,0,0,175,171,2,0,0,18,1,146,396,100,96,136,2500,67,11131,11131,77,0,100,108,2,2,138,156,0,2,2447,1774,23712,848,96,98,2,1023,324,255,126,141,141,138,139,231713
1576762,2020,1,14,19,30,2630,889,0,2,0,121,219,39,493,0,128,0,1,0,163,125,0,350,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,54,20,1,120,48,104,88,5,115,0,0,0,0,0,12,0,0,165,161,2,0,0,14,1,145,395,100,96,136,2500,67,11135,11135,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,113,113,112,112,231713
1577262,2020,1,14,19,30,2630,847,0,2,0,121,219,40,493,0,128,0,1,0,162,125,0,336,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,37,20,1,102,48,128,143,5,99,0,0,0,0,0,24,0,0,173,170,2,0,0,13,1,145,395,100,96,136,2500,67,11133,11133,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,95,99,96,100,231713
1577762,2020,1,14,19,30,2630,849,0,2,0,122,219,38,493,0,128,0,1,0,162,125,0,331,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,37,20,1,109,50,32,0,5,76,0,0,0,0,0,1,0,0,158,154,2,0,0,9,1,143,396,100,96,136,2500,67,11156,11156,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,73,76,72,75,231713
1578262,2020,1,14,19,30,2630,848,0,2,0,122,219,38,493,0,128,0,1,0,162,125,0,345,15,15,2,1,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,51,20,1,117,49,1,0,5,71,0,0,0,0,0,3,0,0,159,156,2,0,0,9,1,144,396,100,96,136,2500,67,11156,11156,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,68,72,68,72,231713
1578762,2020,1,14,19,30,2630,832,0,2,0,123,220,38,497,0,128,0,1,0,151,125,0,354,15,15,2,0,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,48,20,1,112,49,0,0,5,71,0,0,0,0,0,0,0,0,157,153,2,0,0,8,1,144,396,100,96,136,2500,67,11158,11158,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,68,72,67,72,231713
1579262,2020,1,14,19,30,2630,806,0,2,0,123,220,38,526,0,128,0,1,0,140,125,0,577,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,50,20,1,112,48,0,0,5,83,0,0,0,0,0,0,0,0,157,153,2,0,0,10,1,145,396,100,96,136,2500,67,11165,11165,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,81,85,78,83,231713
1579762,2020,1,14,19,30,2630,859,0,2,0,123,219,38,531,0,128,0,1,0,131,125,0,745,15,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,49,20,1,112,47,0,0,5,107,0,0,0,0,0,0,0,0,157,153,2,0,0,13,1,145,396,100,96,136,2500,67,11167,11167,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,105,111,105,110,231713
1580262,2020,1,14,19,30,2630,990,21,2,0,124,199,38,530,1,128,20,0,0,61,125,0,627,1,1,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,49,20,1,109,46,0,0,5,122,0,0,0,0,0,0,0,0,157,153,2,0,0,15,1,146,396,100,96,136,2500,67,11174,11174,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,120,122,119,120,231713
1580762,2020,1,14,19,30,2630,1228,18,2,0,125,35,37,568,1,115,11,0,0,61,125,0,1486,1,1,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,50,20,1,117,46,0,0,5,150,0,0,0,0,0,0,0,0,157,153,2,0,0,16,1,146,397,100,96,136,2500,67,11180,11180,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,151,151,148,149,231713
1581263,2020,1,14,19,30,2630,1082,0,2,1,125,113,37,485,0,128,0,1,0,183,125,0,259,1,15,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,112,46,0,0,5,167,0,0,0,0,0,0,0,0,157,153,2,0,0,20,1,147,396,100,96,136,2500,67,11180,11180,77,0,100,108,2,2,138,156,0,2,2447,1774,23713,848,96,98,2,1023,324,255,126,166,165,165,164,231713
1581763,2020,1,14,19,30,2630,954,0,2,0,125,144,37,540,0,128,0,1,0,129,125,0,518,1,15,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,103,45,0,0,5,171,0,0,0,0,0,0,0,0,157,153,2,0,0,21,1,147,396,100,96,136,2500,67,11173,11173,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,173,171,170,168,231713
1582264,2020,1,14,19,30,2630,795,0,2,0,124,209,38,596,0,128,0,1,0,124,125,0,1104,1,15,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,50,20,1,115,44,0,0,5,198,0,0,0,0,0,0,0,0,157,153,2,0,0,24,1,147,396,100,96,136,2500,67,11161,11161,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,197,197,197,196,231713
1582766,2020,1,14,19,30,2630,926,0,2,0,123,144,38,581,0,128,0,1,0,92,125,0,1245,1,15,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,48,20,1,109,44,0,0,5,228,0,0,0,0,0,0,0,0,157,153,2,0,0,28,1,148,396,100,96,136,2500,67,11172,11172,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,228,227,227,225,231713
1583266,2020,1,14,19,30,2630,1028,0,2,0,123,170,37,554,0,128,0,0,0,36,125,0,1100,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,48,20,1,109,44,0,0,5,256,0,0,0,0,0,0,0,0,157,153,2,0,0,31,1,148,396,100,96,136,2500,67,11176,11176,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,256,256,256,254,231713
1583768,2020,1,14,19,30,2630,1093,0,2,0,123,138,37,509,0,128,0,0,0,31,125,0,586,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,49,20,1,112,43,0,0,5,273,0,0,0,0,0,0,0,0,157,153,2,0,0,33,1,148,397,100,96,136,2500,67,11176,11176,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,272,272,272,271,231713
1584268,2020,1,14,19,30,2630,1157,25,2,0,122,81,37,576,1,128,24,0,0,14,125,0,1272,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,49,20,1,109,43,0,0,5,283,0,0,0,0,0,0,0,0,157,153,2,0,0,35,1,148,397,100,96,136,2500,67,11178,11178,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,283,282,281,281,231713
1584768,2020,1,14,19,30,2630,1191,0,2,0,122,31,37,485,0,128,0,0,0,15,125,0,509,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,50,20,1,109,43,0,0,5,305,0,0,0,0,0,0,0,0,157,153,2,0,0,38,1,148,397,100,96,136,2500,67,11180,11180,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,304,305,304,304,231713
1585268,2020,1,14,19,30,2630,1181,0,2,0,121,200,37,468,0,128,0,0,0,17,125,0,50,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,50,20,1,117,42,0,0,5,293,0,0,0,0,0,0,0,0,157,153,2,0,0,36,1,149,397,100,96,136,2500,67,11178,11178,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,290,291,289,290,231713
1585768,2020,1,14,19,30,2630,1143,0,2,0,121,54,37,493,0,128,0,0,0,17,125,0,336,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,51,20,1,120,42,0,0,5,282,0,0,0,0,0,0,0,0,157,153,2,0,0,35,1,149,397,100,96,136,2500,67,11178,11178,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,281,280,278,280,231713
1586268,2020,1,14,19,30,2630,1125,0,2,0,121,83,37,493,0,128,0,0,0,20,125,0,377,2,2,2,0,1,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,109,43,29,0,5,281,0,0,0,0,0,11,0,0,165,161,2,0,0,35,1,149,397,100,96,136,2500,67,11176,11176,77,0,100,108,2,2,138,156,0,2,2447,1774,23716,848,96,98,2,1023,324,255,126,278,279,278,280,231713
1586768,2020,1,14,19,30,2630,1030,0,2,0,121,140,37,523,0,128,0,0,0,29,125,0,690,2,2,2,1,1,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,103,42,313,318,5,258,0,0,0,0,0,53,0,0,192,188,2,0,0,33,1,149,396,100,96,136,2500,67,11167,11167,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,254,254,253,253,231713
1587269,2020,1,14,19,30,2630,901,0,2,0,121,218,38,572,0,128,0,0,0,30,125,0,1004,2,2,2,1,1,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,103,44,305,301,5,228,0,0,0,0,0,51,0,0,190,186,2,0,0,28,1,148,396,100,96,136,2500,67,11163,11163,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,221,221,221,221,231713
1587769,2020,1,14,19,30,2630,940,0,2,0,121,193,38,572,0,128,0,0,0,28,125,0,1168,2,2,2,1,1,8,0,0,0,4,224,0,0,12,60,71,3,0,1,54,20,1,117,49,13,0,5,232,0,0,0,0,0,3,0,0,159,155,2,0,0,28,1,144,396,100,96,136,2500,67,11164,11164,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,232,232,230,232,231713
1588269,2020,1,14,19,30,2630,1011,0,2,0,121,189,38,546,0,128,0,0,0,29,125,0,1000,2,2,2,1,1,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,120,48,87,90,5,252,0,0,0,0,0,15,0,0,167,163,2,0,0,31,1,145,396,100,96,136,2500,67,11166,11166,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,252,251,252,250,231713
1588770,2020,1,14,19,30,2630,1007,0,2,0,121,204,38,517,0,128,0,0,0,29,125,0,631,2,2,2,1,1,8,0,0,0,4,224,0,0,12,60,71,3,0,1,41,20,1,109,47,100,100,5,253,0,0,0,0,0,16,0,0,168,164,2,0,0,31,1,146,396,100,96,136,2500,67,11169,11169,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,251,252,251,251,231713
1589270,2020,1,14,19,30,2630,987,0,2,0,121,215,38,491,0,128,0,0,0,29,125,0,363,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,46,20,1,109,49,10,0,5,249,0,0,0,0,0,0,0,0,157,153,2,0,0,31,1,144,396,100,96,136,2500,67,11166,11166,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,246,248,247,248,231713
1589770,2020,1,14,19,30,2630,1062,26,2,0,121,219,37,531,1,128,25,0,0,28,125,0,804,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,43,20,1,106,48,0,0,5,248,0,0,0,0,0,0,0,0,157,153,2,0,0,30,1,145,397,100,96,136,2500,67,11177,11177,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,248,249,245,245,231713
1590270,2020,1,14,19,30,2630,1123,39,2,0,121,15,37,604,1,128,38,0,0,27,125,0,1909,2,2,2,0,0,8,0,0,0,4,224,0,0,12,60,71,3,0,1,45,20,1,118,47,0,0,5,275,0,0,0,0,0,0,0,0,157,153,2,0,0,34,1,146,397,100,96,136,2500,67,11181,11181,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,277,277,274,275,231713
1590770,2020,1,14,19,30,2630,1273,39,2,0,121,15,37,611,1,128,38,0,0,27,125,0,2250,2,2,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,54,20,1,120,46,0,0,5,315,0,0,0,0,0,0,0,0,157,154,2,0,0,39,1,146,397,100,96,136,2500,67,11181,11181,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,314,315,312,312,231713
1591270,2020,1,14,19,30,2630,1266,0,2,0,121,15,36,466,0,128,0,1,0,142,125,0,100,2,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,54,20,1,118,46,0,0,5,334,0,0,0,0,0,0,0,0,157,153,2,0,0,41,1,146,397,100,96,136,2500,67,11181,11181,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,330,331,333,335,231713
1591771,2020,1,14,19,30,2630,862,0,2,0,121,154,37,493,0,128,0,1,0,182,125,0,0,2,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,104,45,0,0,5,332,0,0,0,0,0,0,0,0,157,153,2,1,0,41,1,147,397,100,96,136,2500,67,11176,11176,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,328,330,328,330,231713
1592271,2020,1,14,19,30,2630,920,0,2,0,120,217,37,506,0,128,0,1,0,143,125,0,331,2,15,2,0,0,8,0,0,0,4,224,0,0,12,61,71,3,0,1,54,20,1,115,44,0,0,5,331,0,0,0,0,0,0,0,0,157,153,2,0,0,41,1,147,396,100,96,136,2500,67,11174,11174,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,328,330,326,328,231713
1592771,2020,1,14,19,30,2630,855,0,2,0,120,218,38,530,0,128,0,1,0,133,125,0,677,2,15,2,0,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,49,20,1,98,44,0,0,5,336,0,0,0,0,0,1,0,0,158,154,2,0,0,41,1,148,396,100,96,136,2500,67,11170,11170,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,334,334,333,333,231713
1593271,2020,1,14,19,30,2630,886,0,2,0,119,217,38,519,0,128,0,1,0,121,125,0,586,2,15,2,0,1,8,0,0,0,4,224,0,0,12,61,71,3,0,1,45,20,1,112,44,0,0,5,342,0,0,0,0,0,0,0,0,157,153,2,0,0,42,1,147,396,100,96,136,2500,67,11157,11157,77,0,100,108,2,2,138,156,0,2,2447,1774,23718,848,96,98,2,1023,324,255,126,340,339,340,338,231713
